FILM,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_Stars,Fandango_Ratingvalue,Fandango_Difference
Avengers: Age of Ultron (2015),74,86,66,7.1,7.8,5,4.5,0.5
Cinderella (2015),85,80,67,7.5,7.1,5,4.5,0.5
Ant-Man (2015),80,90,64,8.1,7.8,5,4.5,0.5
Do You Believe? (2015),18,84,22,4.7,5.4,5,4.5,0.5
Hot Tub Time Machine 2 (2015),14,28,29,3.4,5.1,3.5,3,0.5
The Water Diviner (2015),63,62,50,6.8,7.2,4.5,4,0.5
Irrational Man (2015),42,53,53,7.6,6.9,4,3.5,0.5
Top Five (2014),86,64,81,6.8,6.5,4,3.5,0.5
Shaun the Sheep Movie (2015),99,82,81,8.8,7.4,4.5,4,0.5
Love & Mercy (2015),89,87,80,8.5,7.8,4.5,4,0.5
Far From The Madding Crowd (2015),84,77,71,7.5,7.2,4.5,4,0.5
Black Sea (2015),82,60,62,6.6,6.4,4,3.5,0.5
Leviathan (2014),99,79,92,7.2,7.7,4,3.5,0.5
Unbroken (2014),51,70,59,6.5,7.2,4.5,4.1,0.4
The Imitation Game (2014),90,92,73,8.2,8.1,5,4.6,0.4
Taken 3 (2015),9,46,26,4.6,6.1,4.5,4.1,0.4
Ted 2 (2015),46,58,48,6.5,6.6,4.5,4.1,0.4
Southpaw (2015),59,80,57,8.2,7.8,5,4.6,0.4
Night at the Museum: Secret of the Tomb (2014),50,58,47,5.8,6.3,4.5,4.1,0.4
Pixels (2015),17,54,27,5.3,5.6,4.5,4.1,0.4
"McFarland, USA (2015)",79,89,60,7.2,7.5,5,4.6,0.4
Insidious: Chapter 3 (2015),59,56,52,6.9,6.3,4.5,4.1,0.4
The Man From U.N.C.L.E. (2015),68,80,55,7.9,7.6,4.5,4.1,0.4
Run All Night (2015),60,59,59,7.3,6.6,4.5,4.1,0.4
Trainwreck (2015),85,74,75,6,6.7,4.5,4.1,0.4
Selma (2014),99,86,89,7.1,7.5,5,4.6,0.4
Ex Machina (2015),92,86,78,7.9,7.7,4.5,4.1,0.4
Still Alice (2015),88,85,72,7.8,7.5,4.5,4.1,0.4
Wild Tales (2014),96,92,77,8.8,8.2,4.5,4.1,0.4
The End of the Tour (2015),92,89,84,7.5,7.9,4.5,4.1,0.4
Red Army (2015),96,86,82,7.4,7.7,4.5,4.1,0.4
When Marnie Was There (2015),89,89,71,6.4,7.8,4.5,4.1,0.4
The Hunting Ground (2015),92,72,77,7.8,7.5,4.5,4.1,0.4
The Boy Next Door (2015),10,35,30,5.5,4.6,4,3.6,0.4
Aloha (2015),19,31,40,4,5.5,3.5,3.1,0.4
The Loft (2015),11,40,24,2.4,6.3,4,3.6,0.4
5 Flights Up (2015),52,47,55,6.8,6.1,4,3.6,0.4
Welcome to Me (2015),71,47,67,6.9,5.9,4,3.6,0.4
Saint Laurent (2015),51,45,52,6.8,6.3,3.5,3.1,0.4
Maps to the Stars (2015),60,46,67,5.8,6.3,3.5,3.1,0.4
I'll See You In My Dreams (2015),94,70,75,6.9,6.9,4,3.6,0.4
Timbuktu (2015),99,78,91,6.9,7.2,4,3.6,0.4
About Elly (2015),97,86,87,9.6,8.2,4,3.6,0.4
The Diary of a Teenage Girl (2015),95,81,87,6.3,7,4,3.6,0.4
Kingsman: The Secret Service (2015),75,84,58,7.9,7.8,4.5,4.2,0.3
Tomorrowland (2015),50,53,60,6.4,6.6,4,3.7,0.3
The Divergent Series: Insurgent (2015),30,61,42,5.4,6.4,4.5,4.2,0.3
Annie (2014),27,61,33,4.8,5.2,4.5,4.2,0.3
Fantastic Four (2015),9,20,27,2.5,4,3,2.7,0.3
Terminator Genisys (2015),26,60,38,6.4,6.9,4.5,4.2,0.3
Pitch Perfect 2 (2015),67,68,63,5.7,6.7,4.5,4.2,0.3
Entourage (2015),32,68,38,5.2,7.1,4.5,4.2,0.3
The Age of Adaline (2015),54,68,51,7.4,7.3,4.5,4.2,0.3
Hot Pursuit (2015),8,37,31,3.7,4.9,4,3.7,0.3
The DUFF (2015),71,68,56,6.4,6.6,4.5,4.2,0.3
Black or White (2015),39,68,45,7.9,6.6,4.5,4.2,0.3
Project Almanac (2015),34,46,47,5.4,6.4,4,3.7,0.3
Ricki and the Flash (2015),64,53,54,7,6.2,4,3.7,0.3
Seventh Son (2015),12,35,30,3.9,5.5,3.5,3.2,0.3
Mortdecai (2015),12,30,27,3.2,5.5,3.5,3.2,0.3
Unfinished Business (2015),11,27,32,3.8,5.4,3.5,3.2,0.3
American Ultra (2015),46,52,50,6.8,6.5,4,3.7,0.3
True Story (2015),45,41,50,5.7,6.3,3.5,3.2,0.3
Child 44 (2015),26,44,41,5.3,6.4,4,3.7,0.3
Dark Places (2015),26,33,39,7.9,6.3,4,3.7,0.3
Birdman (2014),92,78,88,8,7.9,4,3.7,0.3
The Gift (2015),93,79,77,8.3,7.6,4,3.7,0.3
Unfriended (2015),60,39,59,5.8,5.9,3,2.7,0.3
Monkey Kingdom (2015),94,77,72,7.5,7.3,4.5,4.2,0.3
Mr. Turner (2014),98,56,94,6.6,6.9,3.5,3.2,0.3
Seymour: An Introduction (2015),100,87,83,6,7.7,4.5,4.2,0.3
The Wrecking Crew (2015),93,84,67,7,7.8,4.5,4.2,0.3
American Sniper (2015),72,85,72,6.6,7.4,5,4.8,0.2
Furious 7 (2015),81,84,67,6.8,7.4,5,4.8,0.2
The Hobbit: The Battle of the Five Armies (2014),61,75,59,7,7.5,4.5,4.3,0.2
San Andreas (2015),50,58,43,5.5,6.5,4.5,4.3,0.2
Straight Outta Compton (2015),90,94,72,7.3,8.4,5,4.8,0.2
Vacation (2015),27,55,34,6.2,6.3,4,3.8,0.2
Chappie (2015),30,57,41,7.4,7,4,3.8,0.2
Poltergeist (2015),31,24,47,3.7,5,3,2.8,0.2
Paper Towns (2015),55,57,56,6.2,6.9,4,3.8,0.2
Big Eyes (2014),72,69,62,7.5,7,4,3.8,0.2
Blackhat (2015),34,25,51,5.4,5.4,3,2.8,0.2
Self/less (2015),20,51,34,8.4,6.6,4,3.8,0.2
Sinister 2 (2015),13,34,31,5,5.5,3.5,3.3,0.2
Little Boy (2015),20,81,30,5.9,7.4,4.5,4.3,0.2
Me and Earl and The Dying Girl (2015),81,89,74,8.4,8.2,4.5,4.3,0.2
Maggie (2015),54,32,52,6.5,5.6,3.5,3.3,0.2
Mad Max: Fury Road (2015),97,88,89,8.7,8.3,4.5,4.3,0.2
Spy (2015),93,82,75,6.3,7.3,4.5,4.3,0.2
The SpongeBob Movie: Sponge Out of Water (2015),78,55,62,6.5,6.1,3.5,3.3,0.2
Paddington (2015),98,81,77,8.2,7.2,4.5,4.3,0.2
Dope (2015),87,86,72,7.2,7.5,4.5,4.3,0.2
What We Do in the Shadows (2015),96,86,75,8.3,7.6,4.5,4.3,0.2
The Overnight (2015),82,65,65,8.6,6.9,3.5,3.3,0.2
The Salt of the Earth (2015),96,90,83,7.8,8.4,4.5,4.3,0.2
Song of the Sea (2014),99,92,86,8.2,8.2,4.5,4.3,0.2
Fifty Shades of Grey (2015),25,42,46,3.2,4.2,4,3.9,0.1
Get Hard (2015),29,48,34,3.8,6.1,4,3.9,0.1
Focus (2015),57,54,56,6.2,6.6,4,3.9,0.1
Jupiter Ascending (2015),26,40,40,4.5,5.5,3.5,3.4,0.1
The Gallows (2015),16,27,30,7,4.4,3,2.9,0.1
The Second Best Exotic Marigold Hotel (2015),62,63,51,6.1,6.6,4,3.9,0.1
Strange Magic (2015),17,50,25,5.3,5.7,3.5,3.4,0.1
The Gunman (2015),17,34,39,4.3,5.8,3.5,3.4,0.1
Hitman: Agent 47 (2015),7,49,28,3.3,5.9,4,3.9,0.1
Cake (2015),49,47,49,6.4,6.5,3.5,3.4,0.1
The Vatican Tapes (2015),13,21,37,5.4,4.6,3,2.9,0.1
A Little Chaos (2015),40,47,51,7,6.4,4,3.9,0.1
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),67,69,58,4.6,7.1,4,3.9,0.1
Escobar: Paradise Lost (2015),52,52,56,6.9,6.6,4,3.9,0.1
Into the Woods (2014),71,50,69,6.1,6,3.5,3.4,0.1
It Follows (2015),96,65,83,7.5,6.9,3,2.9,0.1
Inherent Vice (2014),73,52,81,7.4,6.7,3,2.9,0.1
A Most Violent Year (2014),90,69,79,7,7.1,3.5,3.4,0.1
While We're Young (2015),83,52,76,6.7,6.4,3,2.9,0.1
Clouds of Sils Maria (2015),89,67,78,7.1,6.8,3.5,3.4,0.1
Testament of Youth (2015),81,79,77,7.9,7.3,4,3.9,0.1
Infinitely Polar Bear (2015),80,76,64,7.9,7.2,4,3.9,0.1
Phoenix (2015),99,81,91,8,7.2,3.5,3.4,0.1
The Wolfpack (2015),84,73,75,7,7.1,3.5,3.4,0.1
The Stanford Prison Experiment (2015),84,87,68,8.5,7.1,4,3.9,0.1
Tangerine (2015),95,86,86,7.3,7.4,4,3.9,0.1
Magic Mike XXL (2015),62,64,60,5.4,6.3,4.5,4.4,0.1
Home (2015),45,65,55,7.3,6.7,4.5,4.4,0.1
The Wedding Ringer (2015),27,66,35,3.3,6.7,4.5,4.4,0.1
Woman in Gold (2015),52,81,51,7.2,7.4,4.5,4.4,0.1
The Last Five Years (2015),60,60,60,6.9,6,4.5,4.4,0.1
Mission: Impossible â€“ Rogue Nation (2015),92,90,75,8,7.8,4.5,4.4,0.1
Amy (2015),97,91,85,8.8,8,4.5,4.4,0.1
Jurassic World (2015),71,81,59,7,7.3,4.5,4.5,0
Minions (2015),54,52,56,5.7,6.7,4,4,0
Max (2015),35,73,47,5.9,7,4.5,4.5,0
Paul Blart: Mall Cop 2 (2015),5,36,13,2.4,4.3,3.5,3.5,0
The Longest Ride (2015),31,73,33,4.8,7.2,4.5,4.5,0
The Lazarus Effect (2015),14,23,31,4.9,5.2,3,3,0
The Woman In Black 2 Angel of Death (2015),22,25,42,4.4,4.9,3,3,0
Danny Collins (2015),77,75,58,7.1,7.1,4,4,0
Spare Parts (2015),52,83,50,7.1,7.2,4.5,4.5,0
Serena (2015),18,25,36,5.3,5.4,3,3,0
Inside Out (2015),98,90,94,8.9,8.6,4.5,4.5,0
Mr. Holmes (2015),87,78,67,7.9,7.4,4,4,0
'71 (2015),97,82,83,7.5,7.2,3.5,3.5,0
"Two Days, One Night (2014)",97,78,89,8.8,7.4,3.5,3.5,0
Gett: The Trial of Viviane Amsalem (2015),100,81,90,7.3,7.8,3.5,3.5,0
"Kumiko, The Treasure Hunter (2015)",87,63,68,6.4,6.7,3.5,3.5,0
